FI TOT RoR,ee,se,DE_RoR,SP RoR,PL RoR,,
53.6919,0,0,17.25214985,48.24523067,3.239447855,,2237.1625
52.84875,0,0,16.77186292,48.81826218,3.140587319,,2202.03125
52.65195,0,0,16.34700813,48.88486051,3.042515552,,2193.83125
52.95,0,0,15.9901121,48.53407911,2.951760883,,2206.25
53.097675,0,0,15.64776795,47.85929708,2.868730284,,2212.403125
53.100525,0,0,15.24819142,46.96924497,2.786761167,,2212.521875
53.31975,0,0,14.82873733,46.03314722,2.697516909,,2221.65625
54.3861,0,0,14.38903062,45.24554372,2.597695584,,2266.0875
55.90755,0,0,13.96072539,44.66500361,2.503181672,,2329.48125
57.00015,0,0,13.59625339,44.0385911,2.411722145,,2375.00625
57.964275,0,0,13.26973628,43.18320958,2.332064795,,2415.178125
59.5782,0,0,12.99587596,42.20583076,2.26315653,,2482.425
62.082525,0,0,12.82380377,41.1124181,2.205404322,,2586.771875
64.8102,0,0,12.68638605,40.00443733,2.155737003,,2700.425
68.223,0,0,12.58977359,38.83705365,2.109124069,,2842.625
72.2655,0,0,12.52984086,37.63340873,2.082838738,,3011.0625
75.102,0,0,12.44613006,36.44047674,2.070495331,,3129.25
76.55775,0,0,12.37262058,35.34505218,2.066094164,,3189.90625
77.8035,0,0,12.32123896,34.34712095,2.054182902,,3241.8125
80.322,0,0,12.25530546,33.43311205,2.037539022,,3346.75
83.54625,0,0,12.21420015,32.46003315,2.017907886,,3481.09375
84.30375,0,0,12.30226151,31.46032758,2.011547382,,3512.65625
82.8825,0,0,12.44935548,30.44590484,2.054531136,,3453.4375
79.515,0,0,12.59299901,29.36060889,2.116088738,,3313.125
75.12225,0,0,12.68173545,28.33325722,2.147660505,,3130.09375
70.507875,0,0,12.73776767,27.37916218,2.145214479,,2937.828125
65.885925,0,0,12.78734907,26.49828172,2.128830726,,2745.246875
62.046075,0,0,12.88943723,25.63414691,2.10079164,,2585.253125
58.9413,0,0,13.0108779,24.77657824,2.073511956,,2455.8875
56.3769,0,0,13.12046703,23.90853323,2.044033785,,2349.0375
54.221775,0,0,13.16982339,23.08568512,2.010892871,,2259.240625
52.509525,0,0,13.15444641,22.35018908,1.966482618,,2187.896875
51.158475,0,0,13.10231469,21.61646657,1.91940817,,2131.603125
49.841775,0,0,12.99445078,21.00099612,1.875203502,,2076.740625
48.345,0,0,12.88186126,20.40415861,1.829467445,,2014.375
46.815975,0,0,12.74091808,19.89106275,1.781419621,,1950.665625
45.429075,0,0,12.54716809,19.40016048,1.727158139,,1892.878125
43.98435,0,0,12.38754751,18.94753801,1.678069811,,1832.68125
42.43335,0,0,12.21480023,18.46573457,1.62957306,,1768.05625
40.81635,0,0,12.09028417,17.99874706,1.578378549,,1700.68125
39.27525,0,0,11.92413775,17.55224288,1.528790946,,1636.46875
37.95735,0,0,11.75011531,17.09648261,1.478087319,,1581.55625
36.953175,0,0,11.59304505,16.67535144,1.437629306,,1539.715625
35.96055,0,0,11.41474706,16.22768232,1.397897129,,1498.35625
34.962,0,0,11.23262357,15.76307603,1.362671009,,1456.75
34.00905,0,0,11.04794975,15.30934889,1.326182019,,1417.04375
33.093,0,0,10.87970306,14.88699775,1.295478738,,1378.875
32.24385,0,0,10.71123133,14.50164957,1.266726404,,1343.49375
31.449825,0,0,10.54313465,14.12675563,1.240071861,,1310.409375
30.684675,0,0,10.40909237,13.77060819,1.216010189,,1278.528125
29.878425,0,0,10.28480134,13.3915651,1.196664353,,1244.934375
29.091975,0,0,10.17528721,13.00552376,1.179789716,,1212.165625
28.2834,0,0,10.06134752,12.5973168,1.166468738,,1178.475
27.5235,0,0,9.959484385,12.21043633,1.155774196,,1146.8125
26.7339,0,0,9.824842021,11.84824572,1.142373502,,1113.9125
25.954125,0,0,9.686374164,11.51741629,1.125620536,,1081.421875
25.158975,0,0,9.550006578,11.20514366,1.1076047,,1048.290625
24.36975,0,0,9.40726317,10.90261443,1.091585962,,1015.40625
23.563575,0,0,9.272170748,10.60943847,1.076708423,,981.815625
22.853325,0,0,9.121176275,10.34175292,1.059682744,,952.221875
22.21515,0,0,9.010461998,10.08474605,1.04275776,,925.63125
21.594075,0,0,8.829163617,9.889667576,1.020634448,,899.753125
20.948625,0,0,8.701797192,9.7029584,0.997550347,,872.859375
20.26485,0,0,8.581931734,9.504575216,0.978645047,,844.36875
19.59705,0,0,8.492970261,9.318797717,0.961581609,,816.54375
18.96195,0,0,8.426361672,9.123605577,0.951373754,,790.08125
18.386025,0,0,8.366578962,8.918209505,0.940847035,,766.084375
17.88,0,0,8.303720856,8.763824531,0.932183155,,745
17.438175,0,0,8.264565806,8.571098249,0.92622123,,726.590625
17.087775,0,0,8.20860859,8.386856534,0.920716625,,711.990625
16.8108,0,0,8.152651374,8.203262712,0.915140694,,700.45
16.663875,0,0,8.075766458,8.012468148,0.91201918,,694.328125
16.6515,0,0,7.996331214,7.828771917,0.909912997,,693.8125
16.691925,0,0,7.896718368,7.644998235,0.905478265,,695.496875
16.725,0,0,7.790054613,7.475271035,0.903514732,,696.875
16.7286,0,0,7.658262617,7.310544707,0.901840694,,697.025
16.670325,0,0,7.520469847,7.194318935,0.900640757,,694.596875
16.57665,0,0,7.354203405,7.088689761,0.894276057,,690.69375
16.453875,0,0,7.190652313,6.966150705,0.887126782,,685.578125
16.2867,0,0,7.060097977,6.842157951,0.878928612,,678.6125
16.125675,0,0,6.912126394,6.71457411,0.871628297,,671.903125
15.9552,0,0,6.756893875,6.594949261,0.862528076,,664.8
15.766875,0,0,6.60145883,6.476540871,0.85425858,,656.953125
15.56085,0,0,6.453869797,6.369573757,0.843908076,,648.36875
15.355875,0,0,6.311786474,6.263992962,0.834300189,,639.828125
15.16605,0,0,6.170850799,6.134059114,0.824339874,,631.91875
14.9796,0,0,6.058553817,6.04334615,0.814442492,,624.15
14.810325,0,0,5.982388995,5.947427029,0.805442965,,617.096875
14.6319,0,0,5.893082477,5.853468182,0.796376309,,609.6625
14.4558,0,0,5.834589934,5.754323235,0.789999022,,602.325
14.3004,0,0,5.768731441,5.656672048,0.785463596,,595.85
14.167575,0,0,5.689341203,5.561934998,0.798117476,,590.315625
14.04435,0,0,5.6458956,5.45837438,0.8269747,,585.18125
13.919775,0,0,5.60145987,5.357386997,0.872459022,,579.990625
13.783425,0,0,5.532383461,5.241619742,0.916063722,,574.309375
13.65705,0,0,5.467012531,5.153495469,0.948864795,,569.04375
13.5666,0,0,5.372920397,5.055476824,0.967568707,,565.275
13.511175,0,0,5.281543613,4.959935832,0.977218549,,562.965625
13.479675,0,0,5.183768504,4.867514211,0.97712205,,561.653125
13.474125,0,0,5.075972102,4.766684018,0.971818833,,561.421875
13.52085,0,0,4.966142938,4.672837269,0.959013912,,563.36875
13.557225,0,0,4.867347698,4.578168551,0.944832839,,564.884375
13.61715,0,0,4.757533536,4.487146296,0.930878328,,567.38125
13.68525,0,0,4.656900558,4.408663831,0.914523943,,570.21875
13.748025,0,0,4.558652888,4.330656942,0.896348675,,572.834375
13.79205,0,0,4.456272185,4.244311431,0.878043344,,574.66875
13.8168,0,0,4.362075037,4.169446584,0.858731073,,575.7
13.8609,0,0,4.289233144,4.115112259,0.839901293,,577.5375
13.921425,0,0,4.201089276,4.051333632,0.821503659,,580.059375
14.010825,0,0,4.128997479,4.018955642,0.802736814,,583.784375
14.1048,0,0,4.054227837,3.962738572,0.785400662,,587.7
14.164875,0,0,3.972174755,3.901498983,0.768966562,,590.203125
14.204325,0,0,3.913697214,3.860238104,0.753522618,,591.846875
14.266725,0,0,3.845618435,3.81246858,0.739559716,,594.446875
14.41785,0,0,3.779497408,3.767259138,0.724829022,,600.74375
14.620275,0,0,3.712258736,3.725154341,0.711239527,,609.178125
14.8491,0,0,3.646497756,3.687282062,0.696299054,,618.7125
15.104625,0,0,3.580946802,3.644530406,0.683288549,,629.359375
15.348525,0,0,3.519176336,3.608519653,0.671167508,,639.521875
15.546375,0,0,3.445471831,3.563523293,0.658786341,,647.765625
15.716775,0,0,3.393677652,3.566323249,0.645305931,,654.865625
15.913875,0,0,3.333812432,3.523491283,0.63178776,,663.078125
