SE1 RoR;SE2 RoR;SE3 RoR;SE4 RoR;NO1 RoR;NO2 RoR;NO3 RoR;NO4 RoR;NO5 RoR;DK RoR;FI1 RoR;FI2 RoR;BNL_RoR;DE_RoR;BAL RoR;PL RoR;IE ROR;UK RoR;FR RoR;CEN RoR;SP RoR;MED RoR
0;0;0;0;5.219269009;1.263612497;0.024972579;0.074917737;0.169813537;0;2.741375107;3.726159893;2.233198;62.65175463;6.81395;3.907619716;0;4.395395244;214.252842;68.10535277;102.7458958;112.8308883
0;0;0;0;5.117331317;1.238932845;0.024484839;0.073454517;0.166496904;0;2.728814866;3.709087634;2.174671;64.66441418;6.76271;3.968422114;0;4.343237318;214.960814;68.6839713;105.6605053;112.5094777
0;0;0;0;5.012028978;1.213438595;0.023981;0.071943;0.163070799;0;2.720018565;3.697131435;2.133719;66.93660721;6.71243;4.02500795;0;4.297821167;217.1973051;70.43025713;106.9093722;112.6450902
0;0;0;0;4.90691151;1.187989102;0.023478046;0.070434137;0.159650709;0;2.705697156;3.677665344;2.097854;68.64420242;6.65825;4.070827918;0;4.275536976;219.2261577;72.44190315;106.7657694;113.0465032
0;0;0;0;4.812257722;1.165072922;0.023025157;0.06907547;0.156571065;0;2.802806162;3.809658838;2.064776;69.91246598;6.60307;4.109263659;0;4.274891058;221.1040764;74.59828567;105.5845255;113.3369699
0;0;0;0;4.749179846;1.149801437;0.022723349;0.068170046;0.15451877;0;3.163603931;4.300066069;2.033986;71.31064629;6.54457;4.137277571;0;4.271822944;223.9042766;76.88848256;103.7497155;113.5789365
0;0;0;0;4.71630984;1.141843435;0.022566076;0.067698227;0.153449315;0;2.826111433;3.841336067;2.005793;73.03931922;6.48492;4.155532555;0;4.279735447;225.5378657;79.20239395;101.3586614;114.1059903
0;0;0;0;4.712834271;1.141001981;0.022549446;0.067648339;0.153336235;0;2.732607417;3.714242583;1.97694;74.19026765;6.42894;4.174811262;0;4.330036357;225.4961713;81.29184936;98.42008683;114.4583067
0;0;0;0;4.776947422;1.156524113;0.022856208;0.068568623;0.155422213;0;4.057043656;5.514456344;1.947322;74.57701752;6.3789;4.227763722;0;4.430597807;224.1377656;83.6211448;95.02739236;114.7542618
0;0;0;0;5.058098751;1.224592329;0.024201429;0.072604288;0.16456972;0;3.56725466;4.84872034;1.916451;74.31275844;6.36077;4.349771293;0;4.535842167;221.656945;86.80368696;91.24514575;115.2283381
0;0;0;0;5.414566394;1.310895022;0.025907016;0.077721049;0.17616771;0;2.968117498;4.034355002;1.889017;73.59791626;6.48769;4.573605678;0;4.635717328;218.2738562;91.05190694;87.24438392;115.5567932
0;0;0;0;5.649721898;1.367827407;0.027032162;0.081096487;0.183818703;0;3.363957417;4.572392583;1.865557;73.16173501;6.84857;4.939754259;0;4.676490939;214.9216212;96.78326347;83.25930248;115.8343219
0;0;0;0;5.835221137;1.412737749;0.027919718;0.083759155;0.189854085;0;16.35317302;22.22772698;1.842841;73.01779144;7.26507;5.264492429;0;4.663653307;211.7161508;102.7893918;79.3101689;116.1986092
